In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2019-03-21 03:49:00,2019-03-21 10:02:00,6:13,5:43,0:30,--,4:35,1:59,53,--,--
2019-03-22 07:01:00,2019-03-22 09:44:00,2:43,2:43,0:00,--,2:07,0:59,50,--,--
2019-03-23 03:00:00,2019-03-23 11:19:00,8:19,7:36,0:43,--,6:29,3:02,48,--,--
2019-03-24 03:45:00,2019-03-24 08:47:00,5:02,4:44,0:18,--,3:59,1:50,51,--,--
2019-03-25 00:25:00,2019-03-25 09:42:00,9:17,9:07,0:10,--,7:03,2:36,48,--,--
2019-03-27 02:46:00,2019-03-27 09:41:00,6:55,6:39,0:16,--,5:19,1:58,48,--,--
2019-03-28 03:58:00,2019-03-28 09:58:00,6:00,5:16,0:44,--,4:09,2:06,50,--,--
2019-03-31 00:45:00,2019-03-31 07:02:00,6:17,6:17,0:00,--,5:04,1:30,49,--,--
2019-04-03 02:00:00,2019-04-03 07:20:00,5:20,5:20,0:00,--,4:30,2:32,51,--,--
2019-04-04 04:45:00,2019-04-04 09:20:00,4:35,3:59,0:36,--,3:16,0:59,54,--,--
2019-04-05 00:46:00,2019-04-05 11:43:00,10:57,6:47,4:10,--,5:48,3:23,58,--,--
2019-04-08 03:46:00,2019-04-08 09:44:00,5:58,5:58,0:00,--,4:44,2:04,54,--,--
2019-04-10 02:46:00,2019-04-10 09:48:00,7:02,6:59,0:03,--,5:02,1:48,52,--,--
2019-04-12 06:15:00,2019-04-12 11:43:00,5:28,4:27,1:01,--,3:32,1:58,55,--,--
2019-04-13 00:15:00,2019-04-13 09:04:00,9:43,9:35,0:08,--,7:18,2:35,51,--,--
2019-04-14 02:15:00,2019-04-14 09:49:00,7:34,7:34,0:00,--,5:40,1:15,48,--,--
2019-04-16 02:16:00,2019-04-16 10:00:00,7:44,7:30,0:14,--,5:40,2:30,51,--,--
2019-04-17 04:15:00,2019-04-17 10:35:00,6:20,4:37,1:43,--,3:22,1:05,57,--,--
2019-04-18 17:06:00,2019-04-18 21:59:00,4:53,4:39,0:14,--,3:55,2:19,56,--,--
2019-04-20 03:30:00,2019-04-20 11:47:00,10:20,9:12,1:08,--,7:02,2:18,53,--,--
2019-04-21 02:03:00,2019-04-21 09:22:00,7:19,7:19,0:00,--,5:16,0:45,49,--,--
