In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-02-26 03:03:00,2018-02-26 09:43:00,6:40,6:40,0:00,--,4:37,1:43,52,--,--
2018-02-27 00:42:00,2018-02-27 10:00:00,9:18,8:03,1:15,--,6:05,3:01,49,--,--
2018-02-28 00:44:00,2018-02-28 08:28:00,7:44,7:06,0:38,--,5:10,2:37,49,--,--
2018-03-01 01:15:00,2018-03-01 09:48:00,8:33,8:33,0:00,--,6:13,2:45,46,--,--
2018-03-02 01:41:00,2018-03-02 09:14:00,7:33,7:21,0:12,--,5:02,2:27,47,--,--
2018-03-03 01:31:00,2018-03-03 09:14:00,7:43,7:43,0:00,--,5:23,2:29,45,--,--
2018-03-04 02:10:00,2018-03-04 10:00:00,7:50,7:50,0:00,--,5:27,2:26,47,--,--
2018-03-05 02:49:00,2018-03-05 10:28:00,7:39,7:39,0:00,--,5:15,1:28,48,--,--
2018-03-06 02:25:00,2018-03-06 09:48:00,7:23,7:23,0:00,--,5:23,2:17,50,--,--
2018-03-07 03:00:00,2018-03-07 11:31:00,8:31,8:19,0:12,--,5:36,2:51,52,--,--
2018-03-08 02:45:00,2018-03-08 10:11:00,7:26,7:17,0:09,--,5:06,1:02,52,--,--
2018-03-09 02:19:00,2018-03-09 10:29:00,10:11,8:40,1:31,--,6:05,2:43,50,--,--
2018-03-10 04:31:00,2018-03-10 10:26:00,7:29,7:29,0:00,--,5:23,1:55,49,--,--
2018-03-11 03:45:00,2018-03-11 11:15:00,7:30,7:10,0:20,--,5:06,1:58,45,--,--
2018-03-12 04:15:00,2018-03-12 15:14:00,10:59,6:30,4:29,--,4:24,1:45,49,--,--
2018-03-13 04:47:00,2018-03-13 09:58:00,5:11,5:11,0:00,--,3:34,1:43,48,--,--
2018-03-14 00:45:00,2018-03-14 09:28:00,8:43,8:38,0:05,--,6:13,3:33,48,--,--
2018-03-15 01:15:00,2018-03-15 09:00:00,7:45,7:45,0:00,--,--,--,--,--
2018-03-16 03:45:00,2018-03-16 10:36:00,6:51,6:51,0:00,--,4:58,2:32,49,--,--
2018-03-17 02:15:00,2018-03-17 10:27:00,8:12,8:12,0:00,--,5:52,1:59,47,--,--
2018-03-18 02:04:00,2018-03-18 09:28:00,7:24,7:24,0:00,--,5:15,1:58,49,--,--
2018-03-19 00:46:00,2018-03-19 09:53:00,9:07,9:07,0:00,--,6:30,3:02,49,--,--
2018-03-20 02:56:00,2018-03-20 10:16:00,7:20,7:04,0:16,--,5:15,2:46,50,--,--
2018-03-21 01:59:00,2018-03-21 09:04:00,7:05,7:05,0:00,--,5:02,2:16,48,--,--
2018-03-22 01:00:00,2018-03-22 09:15:00,8:15,8:15,0:00,--,--,--,--,--
2018-03-23 04:12:00,2018-03-23 09:27:00,6:17,6:13,0:04,--,3:55,1:33,49,--,--
2018-03-24 01:18:00,2018-03-24 09:34:00,8:16,8:01,0:15,--,6:01,3:00,49,--,--
2018-03-25 02:27:00,2018-03-25 08:44:00,6:17,6:17,0:00,--,4:32,2:30,47,--,--
2018-03-26 02:11:00,2018-03-26 09:29:00,7:18,7:18,0:00,--,5:27,3:39,50,--,--
2018-03-27 04:28:00,2018-03-27 10:49:00,6:21,6:21,0:00,--,4:45,2:41,51,--,--
2018-03-28 05:00:00,2018-03-28 11:21:00,6:21,6:21,0:00,--,4:54,2:47,47,--,--
2018-03-28 23:00:00,2018-03-29 11:15:00,12:15,12:15,0:00,--,--,--,--,--
2018-03-30 01:19:00,2018-03-30 12:44:00,11:25,8:54,2:31,--,6:18,3:42,47,--,--
2018-03-30 22:30:00,2018-03-31 10:00:00,14:46,12:12,2:34,--,8:19,4:29,48,--,--
2018-04-01 02:43:00,2018-04-01 07:56:00,5:13,5:13,0:00,--,3:42,1:44,48,--,--
2018-04-02 02:45:00,2018-04-02 10:41:00,7:56,7:28,0:28,--,5:19,1:59,48,--,--
2018-04-02 21:30:00,2018-04-03 10:30:00,13:00,12:45,0:15,--,--,--,--,--
2018-04-04 02:26:00,2018-04-04 07:33:00,5:07,5:07,0:00,--,3:51,2:40,50,--,--
2018-04-05 02:15:00,2018-04-05 11:00:00,8:45,6:37,2:08,--,4:54,2:56,49,--,--
2018-04-06 02:45:00,2018-04-06 09:58:00,7:13,7:13,0:00,--,5:31,2:59,47,--,--
2018-04-07 01:45:00,2018-04-07 09:45:00,8:00,8:00,0:00,--,5:52,3:00,48,--,--
2018-04-08 01:30:00,2018-04-08 11:15:00,9:45,7:53,1:52,--,5:15,1:31,50,--,--
2018-04-09 01:15:00,2018-04-09 08:59:00,7:44,7:44,0:00,--,5:31,2:29,48,--,--
2018-04-10 01:15:00,2018-04-10 10:13:00,8:58,8:58,0:00,--,6:34,3:44,49,--,--
2018-04-11 04:15:00,2018-04-11 08:59:00,4:44,4:44,0:00,--,3:17,1:29,48,--,--
2018-04-12 00:00:00,2018-04-12 11:30:00,11:30,11:30,0:00,--,--,--,--,--
2018-04-13 02:15:00,2018-04-13 09:43:00,7:28,7:28,0:00,--,5:31,2:44,49,--,--
2018-04-14 01:43:00,2018-04-14 08:43:00,7:00,5:39,1:21,--,3:25,0:58,51,--,--
2018-04-15 03:00:00,2018-04-15 10:16:00,7:16,7:16,0:00,--,5:23,2:00,51,--,--
2018-04-16 03:29:00,2018-04-16 09:29:00,6:00,5:15,0:45,--,3:46,1:54,52,--,--
2018-04-17 03:11:00,2018-04-17 10:10:00,6:59,6:59,0:00,--,4:58,2:14,48,--,--
2018-04-18 03:00:00,2018-04-18 09:13:00,6:13,2:48,3:25,--,1:49,0:28,54,--,--
2018-04-19 00:15:00,2018-04-19 10:13:00,9:58,8:34,1:24,--,5:19,2:31,54,--,--
2018-04-20 01:19:00,2018-04-20 08:44:00,7:25,7:25,0:00,--,5:40,3:42,50,--,--
2018-04-21 02:53:00,2018-04-21 10:44:00,7:51,6:33,1:18,--,5:02,3:46,52,--,--
2018-04-22 01:15:00,2018-04-22 07:41:00,6:26,6:26,0:00,--,4:32,1:29,50,--,--
2018-04-23 02:31:00,2018-04-23 09:33:00,7:02,6:54,0:08,--,5:31,3:04,50,--,--
2018-04-24 02:30:00,2018-04-24 10:19:00,7:49,7:49,0:00,--,5:27,2:16,51,--,--
2018-04-24 23:00:00,2018-04-25 08:15:00,9:15,9:15,0:00,--,--,--,--,--
2018-04-26 02:12:00,2018-04-26 12:22:00,10:10,6:46,3:24,--,4:49,2:20,51,--,--
2018-04-27 01:01:00,2018-04-27 08:01:00,7:00,7:00,0:00,--,5:02,2:15,48,--,--
2018-04-28 02:03:00,2018-04-28 10:29:00,10:42,8:17,2:25,--,4:45,2:52,52,--,--
2018-04-29 02:06:00,2018-04-29 07:01:00,4:55,4:42,0:13,--,3:17,1:14,48,--,--
2018-04-30 00:46:00,2018-04-30 07:45:00,6:59,6:59,0:00,--,4:58,2:14,50,--,--
2018-05-01 01:34:00,2018-05-01 10:02:00,8:28,7:12,1:16,--,5:36,3:28,50,--,--
2018-05-02 01:15:00,2018-05-02 10:45:00,9:30,9:30,0:00,--,--,--,--,--
2018-05-03 04:00:00,2018-05-03 11:15:00,7:15,7:15,0:00,--,--,--,--,--
2018-05-04 02:30:00,2018-05-04 09:58:00,7:28,7:28,0:00,--,5:40,2:59,51,--,--
2018-05-05 02:30:00,2018-05-05 13:30:00,11:00,11:00,0:00,--,--,--,--,--
2018-05-06 01:55:00,2018-05-06 10:13:00,8:18,8:00,0:18,--,5:52,2:45,55,--,--
2018-05-07 05:09:00,2018-05-07 09:57:00,4:48,4:48,0:00,--,3:17,1:40,51,--,--
2018-05-08 02:14:00,2018-05-08 09:47:00,7:33,7:01,0:32,--,4:58,2:06,49,--,--
2018-05-09 03:45:00,2018-05-09 10:14:00,7:23,6:27,0:56,--,4:20,2:09,49,--,--
2018-05-10 19:15:00,2018-05-10 19:43:00,0:28,0:28,0:00,--,0:12,--,74,--,--
2018-05-11 01:32:00,2018-05-11 09:31:00,7:59,7:55,0:04,--,6:13,3:34,48,--,--
2018-05-12 02:39:00,2018-05-12 08:00:00,5:21,5:21,0:00,--,3:51,1:12,60,--,--
2018-05-13 03:15:00,2018-05-13 10:30:00,7:15,5:45,1:30,--,--,--,--,--
2018-05-14 03:05:00,2018-05-14 10:02:00,6:57,6:25,0:32,--,4:58,2:57,53,--,--
2018-05-14 23:45:00,2018-05-15 09:30:00,9:45,9:45,0:00,--,--,--,--,--
