In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-06-12 03:32:00,2018-06-12 10:32:00,7:00,7:00,0:00,--,5:19,3:00,48,--,--
2018-06-13 02:50:00,2018-06-13 11:45:00,8:55,8:55,0:00,--,5:57,2:28,48,--,--
2018-06-14 17:41:00,2018-06-14 20:00:00,2:19,2:19,0:00,--,1:45,1:09,56,--,--
2018-06-15 04:30:00,2018-06-15 13:35:00,9:05,9:05,0:00,--,6:05,2:01,50,--,--
2018-06-16 04:56:00,2018-06-16 07:59:00,3:03,3:03,0:00,--,2:18,1:24,48,--,--
2018-06-17 03:54:00,2018-06-17 11:44:00,7:50,7:50,0:00,--,5:27,3:01,48,--,--
2018-06-18 05:30:00,2018-06-18 10:00:00,4:30,4:30,0:00,--,2:56,1:00,51,--,--
2018-06-18 22:45:00,2018-06-19 10:45:00,12:00,11:30,0:30,--,--,--,--,--
2018-06-20 04:15:00,2018-06-20 07:15:00,3:00,3:00,0:00,--,1:45,0:30,57,--,--
2018-06-22 07:13:00,2018-06-22 08:45:00,1:32,1:25,0:07,--,1:07,0:56,52,--,--
2018-06-25 04:45:00,2018-06-25 09:04:00,4:19,4:19,0:00,--,3:13,2:01,52,--,--
2018-06-26 04:27:00,2018-06-26 09:59:00,5:32,5:32,0:00,--,4:03,2:53,54,--,--
2018-06-27 00:00:00,2018-06-27 14:45:00,14:45,14:45,0:00,--,--,--,--,--
2018-06-28 05:18:00,2018-06-28 11:38:00,7:49,7:09,0:40,--,4:45,2:32,49,--,--
2018-06-28 23:45:00,2018-06-29 06:30:00,6:45,6:45,0:00,--,--,--,--,--
2018-06-30 04:28:00,2018-06-30 12:07:00,7:39,6:47,0:52,--,5:02,3:31,46,--,--
2018-07-01 06:12:00,2018-07-01 10:00:00,3:48,3:35,0:13,--,2:06,1:26,53,--,--
2018-07-02 04:58:00,2018-07-02 10:36:00,5:38,5:33,0:05,--,3:34,1:19,53,--,--
2018-07-03 05:42:00,2018-07-03 09:47:00,4:05,4:05,0:00,--,3:09,1:55,51,--,--
2018-07-04 03:18:00,2018-07-04 12:47:00,9:29,8:45,0:44,--,5:57,2:49,51,--,--
2018-07-05 05:34:00,2018-07-05 14:58:00,9:24,8:36,0:48,--,5:57,2:12,51,--,--
2018-07-06 06:53:00,2018-07-06 12:15:00,5:22,5:22,0:00,--,4:03,1:42,49,--,--
2018-07-07 03:19:00,2018-07-07 14:31:00,11:12,9:25,1:47,--,6:26,2:43,49,--,--
2018-07-08 10:00:00,2018-07-08 14:50:00,4:50,3:57,0:53,--,2:56,1:58,50,--,--
2018-07-09 05:22:00,2018-07-09 10:00:00,4:38,4:08,0:30,--,2:52,1:22,50,--,--
2018-07-10 04:12:00,2018-07-10 06:56:00,2:44,2:44,0:00,--,2:10,1:22,51,--,--
2018-07-11 04:25:00,2018-07-11 06:53:00,4:39,3:56,0:43,--,2:35,1:09,57,--,--
2018-07-12 01:58:00,2018-07-12 12:01:00,10:03,4:48,5:15,--,2:43,1:26,50,--,--
2018-07-12 22:14:00,2018-07-13 07:44:00,9:30,6:08,3:22,--,2:56,0:58,50,--,--
2018-07-13 23:00:00,2018-07-14 07:56:00,8:56,6:07,2:49,--,3:25,0:42,50,--,--
2018-07-15 05:33:00,2018-07-15 07:34:00,2:01,2:01,0:00,--,0:58,0:15,46,--,--
2018-07-15 22:30:00,2018-07-16 08:45:00,10:15,10:00,0:15,--,--,--,--,--
2018-07-17 02:34:00,2018-07-17 07:00:00,6:24,6:04,0:20,--,3:51,1:27,52,--,--
2018-07-18 01:14:00,2018-07-18 07:32:00,6:18,6:18,0:00,--,4:07,1:12,48,--,--
2018-07-19 00:30:00,2018-07-19 08:00:00,9:03,9:03,0:00,--,5:57,1:45,51,--,--
2018-07-19 23:45:00,2018-07-20 14:00:00,14:15,14:15,0:00,--,--,--,--,--
2018-07-20 22:15:00,2018-07-21 09:45:00,11:30,11:30,0:00,--,--,--,--,--
2018-07-22 02:00:00,2018-07-22 08:18:00,6:18,6:18,0:00,--,4:24,2:00,50,--,--
2018-07-22 21:45:00,2018-07-23 10:30:00,12:45,12:45,0:00,--,--,--,--,--
2018-07-24 01:38:00,2018-07-24 10:00:00,8:22,6:40,1:42,--,4:12,1:36,54,--,--
2018-07-26 01:30:00,2018-07-26 10:41:00,9:11,7:25,1:46,--,4:54,2:02,52,--,--
2018-07-27 00:15:00,2018-07-27 12:30:00,12:15,12:00,0:15,--,--,--,--,--
2018-07-28 02:15:00,2018-07-28 07:59:00,5:44,5:37,0:07,--,3:55,1:31,56,--,--
2018-07-29 04:45:00,2018-07-29 19:15:00,14:30,14:30,0:00,--,--,--,--,--
2018-07-30 02:49:00,2018-07-30 08:57:00,6:08,6:08,0:00,--,3:55,1:43,55,--,--
2018-07-31 02:30:00,2018-07-31 10:22:00,7:52,6:54,0:58,--,4:37,2:13,51,--,--
2018-07-31 23:15:00,2018-08-01 14:15:00,15:00,13:00,2:00,--,--,--,--,--
2018-08-02 01:46:00,2018-08-02 09:47:00,8:01,6:08,1:53,--,3:46,1:24,51,--,--
2018-08-03 02:18:00,2018-08-03 09:35:00,7:17,6:29,0:48,--,3:30,0:43,47,--,--
2018-08-04 02:15:00,2018-08-04 11:45:00,9:30,9:30,0:00,--,--,--,--,--
2018-08-05 03:28:00,2018-08-05 07:42:00,6:28,6:28,0:00,--,4:12,1:29,48,--,--
2018-08-06 01:32:00,2018-08-06 09:00:00,7:28,6:13,1:15,--,3:42,0:55,48,--,--
2018-08-07 03:45:00,2018-08-07 06:30:00,3:36,3:36,0:00,--,2:27,1:02,53,--,--
2018-08-08 01:20:00,2018-08-08 06:58:00,5:38,5:37,0:01,--,3:38,1:47,54,--,--
2018-08-08 21:30:00,2018-08-09 07:30:00,10:00,10:00,0:00,--,--,--,--,--
2018-08-10 00:35:00,2018-08-10 09:17:00,8:42,7:28,1:14,--,5:02,1:29,54,--,--
2018-08-10 23:00:00,2018-08-11 06:14:00,7:48,7:22,0:26,--,4:41,1:15,52,--,--
2018-08-11 23:30:00,2018-08-12 07:30:00,8:00,8:00,0:00,--,--,--,--,--
