In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-05-21 01:59:00,2018-05-21 09:44:00,7:45,7:45,0:00,--,5:52,2:45,50,--,--
2018-05-22 03:01:00,2018-05-22 10:00:00,6:59,6:54,0:05,--,5:23,3:34,48,--,--
2018-05-23 02:30:00,2018-05-23 10:27:00,7:57,6:52,1:05,--,5:02,3:03,48,--,--
2018-05-24 03:17:00,2018-05-24 09:29:00,6:39,6:23,0:16,--,4:24,2:28,49,--,--
2018-05-25 03:46:00,2018-05-25 12:47:00,9:01,7:43,1:18,--,5:15,2:14,48,--,--
2018-05-26 02:30:00,2018-05-26 08:01:00,5:31,5:31,0:00,--,3:55,1:45,50,--,--
2018-05-26 21:00:00,2018-05-27 11:00:00,14:00,14:00,0:00,--,--,--,--,--
2018-05-28 02:02:00,2018-05-28 09:43:00,7:41,7:41,0:00,--,5:48,2:43,49,--,--
2018-05-29 03:03:00,2018-05-29 09:18:00,6:15,5:58,0:17,--,4:16,1:59,49,--,--
2018-05-30 03:01:00,2018-05-30 08:30:00,7:48,7:48,0:00,--,5:36,3:09,47,--,--
2018-05-31 05:00:00,2018-05-31 11:08:00,6:08,6:02,0:06,--,4:28,1:34,47,--,--
2018-06-01 03:10:00,2018-06-01 10:29:00,8:24,8:24,0:00,--,6:26,2:46,48,--,--
2018-06-02 03:13:00,2018-06-02 09:45:00,6:32,6:32,0:00,--,5:15,3:31,52,--,--
2018-06-03 04:29:00,2018-06-03 14:01:00,9:32,7:09,2:23,--,5:19,2:33,52,--,--
2018-06-04 03:35:00,2018-06-04 09:57:00,6:22,6:22,0:00,--,4:49,2:41,47,--,--
2018-06-05 03:44:00,2018-06-05 09:48:00,6:04,5:44,0:20,--,4:16,3:14,50,--,--
2018-06-06 02:30:00,2018-06-06 12:38:00,10:08,9:38,0:30,--,6:43,3:17,48,--,--
2018-06-07 05:05:00,2018-06-07 10:06:00,5:01,5:01,0:00,--,3:21,1:35,46,--,--
2018-06-08 03:45:00,2018-06-08 11:47:00,8:02,7:34,0:28,--,5:19,3:01,48,--,--
2018-06-09 03:15:00,2018-06-09 12:30:00,9:15,9:15,0:00,--,--,--,--,--
2018-06-10 03:38:00,2018-06-10 10:34:00,6:56,6:44,0:12,--,4:45,2:59,51,--,--
2018-06-11 06:09:00,2018-06-11 10:20:00,4:11,4:11,0:00,--,2:39,1:28,53,--,--
