In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-09-20 01:27:00,2018-09-20 07:43:00,6:16,6:16,0:00,--,4:24,1:55,49,--,--
2018-09-21 01:45:00,2018-09-21 07:28:00,5:43,5:34,0:09,--,3:51,2:16,51,--,--
2018-09-22 03:59:00,2018-09-22 04:29:00,3:09,3:09,0:00,--,2:10,1:17,59,--,--
2018-09-23 01:35:00,2018-09-23 08:13:00,6:38,6:38,0:00,--,4:20,1:13,52,--,--
2018-09-24 03:28:00,2018-09-24 10:00:00,6:32,2:35,3:57,--,1:36,1:04,52,--,--
2018-09-25 00:15:00,2018-09-25 07:45:00,7:30,7:30,0:00,--,--,--,--,--
2018-09-26 02:27:00,2018-09-26 08:46:00,6:19,6:19,0:00,--,4:20,0:58,52,--,--
2018-09-27 01:04:00,2018-09-27 07:30:00,7:16,7:16,0:00,--,5:36,4:01,51,--,--
2018-09-28 02:31:00,2018-09-28 05:20:00,2:49,2:49,0:00,--,2:18,1:32,48,--,--
2018-09-29 00:12:00,2018-09-29 08:00:00,8:32,8:28,0:04,--,6:05,2:34,47,--,--
2018-09-30 00:05:00,2018-09-30 08:42:00,9:37,9:37,0:00,--,6:30,1:58,45,--,--
2018-10-01 01:45:00,2018-10-01 09:00:00,7:15,7:15,0:00,--,--,--,--,--
2018-10-02 02:38:00,2018-10-02 09:14:00,6:36,6:20,0:16,--,4:24,2:01,50,--,--
2018-10-03 02:20:00,2018-10-03 07:56:00,5:36,5:36,0:00,--,4:03,1:27,53,--,--
2018-10-04 02:08:00,2018-10-04 08:44:00,6:36,6:13,0:23,--,4:37,2:29,48,--,--
2018-10-05 02:15:00,2018-10-05 05:13:00,2:58,2:58,0:00,--,2:06,1:14,50,--,--
2018-10-07 21:00:00,2018-10-08 08:30:00,11:30,11:30,0:00,--,--,--,--,--
2018-10-09 01:15:00,2018-10-09 08:59:00,7:44,7:44,0:00,--,5:15,2:44,52,--,--
2018-10-10 01:00:00,2018-10-10 09:34:00,8:34,6:26,2:08,--,4:24,2:08,52,--,--
2018-10-11 00:45:00,2018-10-11 10:00:00,9:15,9:15,0:00,--,--,--,--,--
2018-10-12 00:15:00,2018-10-12 05:00:00,4:45,4:45,0:00,--,3:13,0:45,50,--,--
2018-10-12 21:45:00,2018-10-13 14:45:00,17:00,14:00,3:00,--,--,--,--,--
2018-10-14 01:23:00,2018-10-14 07:59:00,6:36,6:36,0:00,--,4:45,2:47,50,--,--
2018-10-15 08:15:00,2018-10-15 10:00:00,1:45,1:45,0:00,--,--,--,--,--
2018-10-16 00:28:00,2018-10-16 09:13:00,8:45,8:30,0:15,--,6:39,4:22,52,--,--
2018-10-17 01:15:00,2018-10-17 07:12:00,5:57,5:57,0:00,--,4:07,1:44,51,--,--
2018-10-18 01:22:00,2018-10-18 08:14:00,6:52,6:29,0:23,--,4:32,2:24,50,--,--
2018-10-19 02:00:00,2018-10-19 06:00:00,4:00,4:00,0:00,--,--,--,--,--
2018-10-20 01:00:00,2018-10-20 08:00:00,7:35,7:35,0:00,--,5:27,1:45,50,--,--
2018-10-21 01:19:00,2018-10-21 08:21:00,7:02,7:02,0:00,--,3:59,1:45,49,--,--
2018-10-22 08:30:00,2018-10-22 09:42:00,1:12,1:12,0:00,--,0:50,0:43,55,--,--
2018-10-23 01:48:00,2018-10-23 09:43:00,7:55,7:55,0:00,--,5:36,2:13,51,--,--
2018-10-24 02:25:00,2018-10-24 09:44:00,7:19,7:19,0:00,--,5:27,2:26,49,--,--
2018-10-25 03:00:00,2018-10-25 07:15:00,4:15,4:15,0:00,--,3:04,2:00,48,--,--
2018-10-26 00:54:00,2018-10-26 05:15:00,4:21,4:21,0:00,--,3:17,1:41,52,--,--
2018-10-26 23:45:00,2018-10-27 09:15:00,9:30,9:30,0:00,--,--,--,--,--
2018-10-27 23:12:00,2018-10-28 07:04:00,7:52,7:52,0:00,--,5:27,2:12,49,--,--
2018-10-29 23:00:00,2018-10-30 10:00:00,11:00,11:00,0:00,--,--,--,--,--
2018-10-31 03:20:00,2018-10-31 09:45:00,6:25,6:25,0:00,--,4:20,1:43,51,--,--
2018-11-01 02:06:00,2018-11-01 10:05:00,7:59,7:37,0:22,--,4:58,2:27,49,--,--
2018-11-02 03:23:00,2018-11-02 05:30:00,2:07,2:07,0:00,--,1:24,0:14,52,--,--
2018-11-02 22:40:00,2018-11-03 11:43:00,13:03,9:53,3:10,--,6:22,2:13,53,--,--
2018-11-04 01:43:00,2018-11-04 09:28:00,9:01,8:21,0:40,--,5:36,2:46,47,--,--
