In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-08-13 00:45:00,2018-08-13 08:30:00,7:45,7:45,0:00,--,--,--,--,--
2018-08-13 22:45:00,2018-08-14 09:00:00,10:15,10:15,0:00,--,--,--,--,--
2018-08-14 23:38:00,2018-08-15 08:26:00,8:48,5:53,2:55,--,3:25,0:42,51,--,--
2018-08-16 00:58:00,2018-08-16 06:56:00,5:58,5:18,0:40,--,2:52,0:43,49,--,--
2018-08-17 00:10:00,2018-08-17 06:58:00,6:48,5:56,0:52,--,3:30,1:25,51,--,--
2018-08-17 21:00:00,2018-08-18 10:15:00,13:15,13:15,0:00,--,--,--,--,--
2018-08-19 00:24:00,2018-08-19 08:20:00,7:56,6:22,1:34,--,3:21,0:56,49,--,--
2018-08-20 01:00:00,2018-08-20 09:00:00,8:00,8:00,0:00,--,--,--,--,--
2018-08-21 00:30:00,2018-08-21 10:15:00,9:45,9:45,0:00,--,--,--,--,--
2018-08-22 02:44:00,2018-08-22 06:59:00,5:00,4:59,0:01,--,2:56,1:41,48,--,--
2018-08-22 23:07:00,2018-08-23 06:45:00,7:38,7:14,0:24,--,5:02,2:44,54,--,--
2018-08-24 01:45:00,2018-08-24 07:14:00,5:29,5:29,0:00,--,3:25,1:29,53,--,--
2018-08-27 00:14:00,2018-08-27 07:13:00,6:59,6:48,0:11,--,4:58,2:46,53,--,--
2018-08-28 00:43:00,2018-08-28 07:48:00,7:05,6:20,0:45,--,4:12,1:24,52,--,--
2018-08-29 00:30:00,2018-08-29 08:13:00,7:43,6:39,1:04,--,4:24,1:54,53,--,--
2018-08-29 22:30:00,2018-08-30 06:00:00,7:45,7:45,0:00,--,--,--,--,--
2018-08-31 01:45:00,2018-08-31 10:00:00,8:30,8:15,0:15,--,--,--,--,--
2018-08-31 22:15:00,2018-09-01 07:30:00,9:15,7:48,1:27,--,5:06,2:11,52,--,--
2018-09-02 00:15:00,2018-09-02 11:30:00,11:15,11:15,0:00,--,--,--,--,--
2018-09-03 01:25:00,2018-09-03 08:58:00,7:33,7:33,0:00,--,5:19,3:09,52,--,--
2018-09-04 01:02:00,2018-09-04 07:27:00,6:25,6:25,0:00,--,4:28,1:43,51,--,--
2018-09-04 23:15:00,2018-09-05 10:00:00,10:45,10:45,0:00,--,--,--,--,--
2018-09-06 00:23:00,2018-09-06 09:04:00,8:41,6:42,1:59,--,4:03,1:40,52,--,--
2018-09-07 02:49:00,2018-09-07 08:14:00,5:58,4:31,1:27,--,3:00,1:24,50,--,--
2018-09-07 23:45:00,2018-09-08 09:30:00,9:45,9:45,0:00,--,--,--,--,--
2018-09-09 01:36:00,2018-09-09 08:57:00,8:46,8:28,0:18,--,5:40,2:47,50,--,--
2018-09-10 00:30:00,2018-09-10 09:02:00,8:32,8:32,0:00,--,5:31,2:15,51,--,--
2018-09-10 22:52:00,2018-09-11 10:14:00,11:22,8:00,3:22,--,4:49,1:10,52,--,--
2018-09-12 00:47:00,2018-09-12 07:26:00,6:39,6:39,0:00,--,4:16,1:43,50,--,--
2018-09-12 23:55:00,2018-09-13 07:30:00,7:35,7:35,0:00,--,4:54,1:28,52,--,--
2018-09-14 03:52:00,2018-09-14 06:57:00,3:05,3:05,0:00,--,2:10,0:56,59,--,--
2018-09-15 02:46:00,2018-09-15 10:18:00,7:32,7:23,0:09,--,5:52,3:18,49,--,--
2018-09-16 02:45:00,2018-09-16 09:15:00,6:30,6:30,0:00,--,--,--,--,--
2018-09-17 02:20:00,2018-09-17 08:42:00,6:22,6:10,0:12,--,3:51,0:59,52,--,--
2018-09-18 00:30:00,2018-09-18 10:15:00,9:45,9:45,0:00,--,--,--,--,--
2018-09-18 23:30:00,2018-09-19 09:30:00,10:00,10:00,0:00,--,--,--,--,--
