In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-12-17 02:13:00,2018-12-17 09:59:00,8:49,8:49,0:00,--,6:47,3:23,46,--,--
2018-12-18 04:35:00,2018-12-18 05:53:00,1:18,1:18,0:00,--,0:58,0:31,56,--,--
2018-12-21 02:33:00,2018-12-21 08:09:00,5:36,5:36,0:00,--,4:21,2:17,48,--,--
2018-12-22 00:00:00,2018-12-22 09:43:00,10:17,7:01,3:16,--,5:31,2:34,49,--,--
2018-12-23 00:00:00,2018-12-23 07:57:00,7:57,7:09,0:48,--,6:04,2:37,46,--,--
2018-12-24 04:45:00,2018-12-24 09:38:00,4:53,4:53,0:00,--,4:21,2:18,49,--,--
2018-12-26 00:45:00,2018-12-26 09:37:00,8:52,8:52,0:00,--,7:10,2:32,46,--,--
2018-12-27 02:00:00,2018-12-27 09:00:00,7:00,7:00,0:00,--,5:30,2:30,46,--,--
2018-12-28 02:54:00,2018-12-28 08:32:00,12:09,11:34,0:35,--,9:18,3:26,50,--,--
2018-12-29 06:21:00,2018-12-29 16:05:00,9:44,8:44,1:00,--,7:41,1:54,72,--,--
2018-12-30 05:28:00,2018-12-30 13:27:00,7:59,7:33,0:26,--,6:35,2:55,49,--,--
2018-12-31 03:40:00,2018-12-31 10:17:00,6:37,6:37,0:00,--,5:32,2:12,52,--,--
2019-01-01 01:02:00,2019-01-01 10:00:00,9:19,7:56,1:23,--,5:52,1:57,54,--,--
2019-01-02 03:45:00,2019-01-02 10:40:00,6:55,6:09,0:46,--,4:23,2:18,59,--,--
2019-01-03 03:59:00,2019-01-03 09:41:00,6:00,6:00,0:00,--,5:42,3:31,50,--,--
2019-01-04 06:28:00,2019-01-04 09:45:00,3:17,2:38,0:39,--,1:51,0:13,55,--,--
2019-01-05 15:49:00,2019-01-05 17:41:00,1:52,1:52,0:00,--,1:16,0:28,56,--,--
2019-01-06 01:55:00,2019-01-06 08:45:00,7:48,7:05,0:43,--,5:28,1:28,49,--,--
2019-01-08 03:03:00,2019-01-08 09:13:00,6:10,5:59,0:11,--,4:51,1:44,49,--,--
2019-01-09 00:47:00,2019-01-09 09:42:00,8:55,6:50,2:05,--,5:08,2:16,57,--,--
2019-01-10 03:58:00,2019-01-10 09:13:00,5:15,5:15,0:00,--,4:22,1:50,53,--,--
2019-01-11 06:55:00,2019-01-11 14:44:00,7:49,7:07,0:42,--,5:44,2:50,50,--,--
2019-01-12 00:12:00,2019-01-12 05:30:00,7:40,7:40,0:00,--,5:29,2:14,53,--,--
2019-01-13 00:59:00,2019-01-13 07:01:00,6:02,5:16,0:46,--,4:22,2:17,50,--,--
2019-01-14 07:14:00,2019-01-14 10:13:00,2:59,2:46,0:13,--,2:33,1:23,53,--,--
2019-01-16 03:34:00,2019-01-16 09:18:00,5:44,5:44,0:00,--,5:05,2:29,51,--,--
2019-01-17 02:16:00,2019-01-17 09:00:00,6:44,6:44,0:00,--,5:17,1:59,51,--,--
2019-01-18 08:27:00,2019-01-18 11:38:00,3:11,1:48,1:23,--,1:19,0:54,56,--,--
2019-01-20 01:56:00,2019-01-20 13:34:00,11:38,8:59,2:39,--,6:46,2:25,48,--,--
2019-01-21 01:10:00,2019-01-21 09:45:00,8:35,8:06,0:29,--,5:29,1:43,52,--,--
2019-01-22 07:33:00,2019-01-22 10:22:00,2:49,2:49,0:00,--,2:05,1:01,53,--,--
2019-01-23 01:55:00,2019-01-23 09:28:00,7:33,7:16,0:17,--,6:03,2:15,53,--,--
2019-01-25 03:06:00,2019-01-25 08:59:00,5:53,5:22,0:31,--,4:18,1:52,51,--,--
2019-01-26 00:48:00,2019-01-26 08:41:00,9:06,8:48,0:18,--,6:31,1:57,50,--,--
2019-01-27 03:39:00,2019-01-27 09:26:00,7:34,7:03,0:31,--,5:07,1:23,48,--,--
