In bed at,Until,Duration,Asleep,Time awake in bed,Fell asleep in,Quality sleep,Deep sleep,Heartrate,Tags,Notes
2018-11-05 03:43:00,2018-11-05 07:58:00,4:15,3:11,1:04,--,1:03,--,53,--,--
2018-11-05 22:45:00,2018-11-06 00:45:00,2:00,2:00,0:00,--,--,--,--,--
2018-11-06 22:50:00,2018-11-07 05:29:00,6:39,3:55,2:44,--,2:27,0:41,57,--,--
2018-11-08 01:15:00,2018-11-08 09:29:00,8:14,8:14,0:00,--,5:52,2:44,49,--,--
2018-11-09 06:10:00,2018-11-09 15:48:00,9:38,6:09,3:29,--,4:16,1:58,51,--,--
2018-11-09 23:25:00,2018-11-10 07:44:00,12:08,11:11,0:57,--,7:16,2:58,50,--,--
2018-11-11 00:24:00,2018-11-11 07:59:00,8:08,6:39,1:29,--,4:16,1:27,53,--,--
2018-11-12 07:15:00,2018-11-12 10:30:00,3:15,3:15,0:00,--,--,--,--,--
2018-11-13 02:40:00,2018-11-13 09:41:00,7:01,6:24,0:37,--,4:28,1:53,54,--,--
2018-11-13 22:45:00,2018-11-14 09:30:00,11:00,11:00,0:00,--,--,--,--,--
2018-11-15 04:13:00,2018-11-15 09:13:00,5:00,5:00,0:00,--,3:42,2:00,54,--,--
2018-11-16 02:03:00,2018-11-16 07:00:00,5:15,1:38,3:37,--,0:58,--,89,--,--
2018-11-17 19:13:00,2018-11-17 20:45:00,2:13,2:13,0:00,--,1:07,0:26,56,--,--
2018-11-18 09:51:00,2018-11-18 14:30:00,4:39,2:28,2:11,--,1:45,--,82,--,--
2018-11-19 07:30:00,2018-11-19 10:15:00,2:45,2:45,0:00,--,--,--,--,--
2018-11-19 23:30:00,2018-11-20 10:00:00,10:30,10:30,0:00,--,--,--,--,--
2018-11-21 13:19:00,2018-11-21 15:37:00,2:18,2:18,0:00,--,1:40,0:46,49,--,--
2018-11-22 00:13:00,2018-11-22 09:07:00,11:25,10:24,1:01,--,7:08,3:23,51,--,--
2018-11-23 00:43:00,2018-11-23 07:14:00,7:31,7:31,0:00,--,4:54,2:26,47,--,--
2018-11-24 00:15:00,2018-11-24 07:00:00,8:30,8:02,0:28,--,5:27,2:31,50,--,--
2018-11-25 01:50:00,2018-11-25 12:52:00,11:02,7:48,3:14,--,5:02,3:31,50,--,--
2018-11-26 03:14:00,2018-11-26 04:29:00,2:30,2:13,0:17,--,1:24,0:15,67,--,--
2018-11-27 04:09:00,2018-11-27 09:50:00,5:41,5:41,0:00,--,5:10,2:35,50,--,--
2018-11-28 05:13:00,2018-11-28 09:44:00,4:31,4:31,0:00,--,3:21,0:57,48,--,--
2018-11-29 00:00:00,2018-11-29 10:00:00,10:00,10:00,0:00,--,--,--,--,--
2018-11-30 06:15:00,2018-11-30 12:58:00,7:36,6:33,1:03,--,4:54,1:28,49,--,--
2018-12-01 00:00:00,2018-12-01 12:20:00,12:20,7:57,4:23,--,5:36,1:44,49,--,--
2018-12-02 01:51:00,2018-12-02 07:16:00,5:25,5:25,0:00,--,3:25,0:29,50,--,--
2018-12-03 08:28:00,2018-12-03 09:58:00,1:30,1:30,0:00,--,1:15,0:30,53,--,--
2018-12-04 00:15:00,2018-12-04 10:15:00,10:00,10:00,0:00,--,--,--,--,--
2018-12-05 03:10:00,2018-12-05 07:30:00,4:20,4:20,0:00,--,3:25,1:26,54,--,--
2018-12-06 14:15:00,2018-12-06 22:15:00,8:00,7:15,0:45,--,--,--,--,--
2018-12-07 00:37:00,2018-12-07 11:00:00,10:23,10:04,0:19,--,8:03,2:46,52,--,--
2018-12-08 01:42:00,2018-12-08 06:58:00,5:16,4:36,0:40,--,3:17,1:09,52,--,--
2018-12-09 02:29:00,2018-12-09 10:00:00,7:31,6:53,0:38,--,5:31,2:22,50,--,--
2018-12-10 02:16:00,2018-12-10 04:58:00,2:42,1:38,1:04,--,0:42,0:14,62,--,--
2018-12-11 01:27:00,2018-12-11 09:29:00,8:02,6:24,1:38,--,4:54,2:30,52,--,--
2018-12-12 03:30:00,2018-12-12 09:13:00,5:43,5:43,0:00,--,5:23,3:43,49,--,--
2018-12-13 02:00:00,2018-12-13 03:30:00,1:30,1:30,0:00,--,--,--,--,--
2018-12-14 00:30:00,2018-12-14 08:48:00,8:44,7:43,1:01,--,6:05,2:45,50,--,--
2018-12-15 01:38:00,2018-12-15 09:41:00,9:39,9:39,0:00,--,8:24,5:05,48,--,--
2018-12-16 04:14:00,2018-12-16 10:30:00,6:16,5:25,0:51,--,4:16,1:13,50,--,--
